date,CSCO UW Equity,INTC UW Equity,MSFT UW Equity,ADP UW Equity,VRSK UW Equity,MU UW Equity,ADBE UW Equity,AMGN UW Equity,AAPL UW Equity,ADSK UW Equity,CTAS UW Equity,CMCSA UW Equity,KLAC UW Equity,PCAR UW Equity,COST UW Equity,DISCB UW Equity,AMAT UW Equity,CERN UW Equity,CINF UW Equity,EA UW Equity,EXPD UW Equity,FAST UW Equity,FISV UW Equity,FITB UW Equity,GILD UW Equity,HBAN UW Equity,BIIB UW Equity,NTRS UW Equity,PAYX UW Equity,QCOM UW Equity,ROST UW Equity,SBUX UW Equity,NLOK UW Equity,TROW UW Equity,XLNX UW Equity,XRAY UW Equity,INTU UW Equity,MCHP UW Equity,ORLY UW Equity,DLTR UW Equity,NTAP UW Equity,CTXS UW Equity,AMZN UW Equity,CHRW UW Equity,VRSN UW Equity,NVDA UW Equity,CTSH UW Equity,ISRG UW Equity,EBAY UW Equity,BKNG UW Equity,AKAM UW Equity,NUAN UW Equity,GOOGL UW Equity,MKTX UW Equity,NFLX UW Equity,CME UW Equity,NDAQ UW Equity,WYNN UW Equity,EXPE UW Equity,DISCA UW Equity,STX UW Equity,ABMD UW Equity,LBTYB UW Equity,ERIC UW Equity,VTRS UW Equity,MXIM UW Equity,PTC UW Equity,INCY UW Equity,MNST UW Equity,PENN UW Equity,LBTYA UW Equity,HOLX UW Equity,CHKP UW Equity,NVAX UW Equity,CSGP UW Equity,NTES UW Equity,TCOM UW Equity,BIDU UW Equity,ENTG UW Equity,EXAS UR Equity,NICE UW Equity,SGEN UW Equity,DXCM UW Equity,PODD UW Equity,ASML UW Equity,LOGI UW Equity,ALNY UW Equity,OTEX UW Equity,CDNS UW Equity,SWKS UW Equity,ATVI UW Equity,JKHY UW Equity,SNPS UW Equity,ANSS UW Equity,TTWO UW Equity,SBAC UW Equity,ON UW Equity,MRVL UW Equity,BMRN UW Equity,JBHT UW Equity,LRCX UW Equity,VRTX UW Equity,SIRI UW Equity,ACGL UW Equity,DISH UW Equity,ALXN UW Equity,ILMN UW Equity,GRMN UW Equity,DISCK UW Equity,LBTYK UW Equity,AVGO UW Equity,LULU UW Equity,STLD UW Equity,ULTA UW Equity,VOD UW Equity,FTNT UW Equity,CGNX UW Equity,IDXX UW Equity,NDSN UW Equity,ODFL UW Equity,REGN UW Equity,SIVB UW Equity,TECH UW Equity,TRMB UW Equity,ZBRA UW Equity,TSCO UW Equity,CPRT UW Equity,POOL UW Equity,MASI UW Equity,RYAAY UW Equity,ICLR UW Equity,UAL UW Equity,ALGN UW Equity,LKQ UW Equity,EQIX UW Equity,SBNY UW Equity,MPWR UW Equity,IBKR UW Equity,UHAL UW Equity,MELI UW Equity
2010/1/4,24.69,20.88,30.95,37.5733,29.85,10.85,37.09,57.74,7.649,25.67,26.39,8.485,36.92,36.61,59.41,15.8383,14.3,21.0675,26.5,18.15,35.08,10.5075,12.3525,10.12,21.65,3.68,49.408,52.53,30.82,46.94,10.6725,11.525,18.4,54.4,25.38,35.33,30.81,29.18,38.5,16.0567,34.19,34.113,133.9,59.34,24.74,18.49,23.4,102.923,10.059,223.96,25.92,13.8419,313.679,14.19,7.64,68.482,20.24,63.96,24.283,15.8361,18.89,8.74,9.6576,9.51,18.72,20.49,16.67,9.5,6.547,6.2728,9.2626,14.94,34.11,56.2,42.25,8.332,18.125,41.003,5.4,3.4,31.72,10.54,8.56,15.03,34.66,17.82,18.14,10.145,6.12,14.82,11.3,23.85,22.44,44.64,10.4,35.17,8.87,21.03,18.95,33.06,39.88,44.24,0.645,7.9944,21.0957,24.125,30.55,32.18,13.395,8.8629,18.86,15.455,18.29,18.85,28.9625,9,4.535,27.04,31.53,8.6785,24.63,42.98,68.68,12.825,28.67,13.335,9.0975,19.34,29.76,28.6667,21.61,12.8,18.5,9.845,109.57,32.32,24,17.77,50.54,50.59
2010/1/5,24.58,20.87,30.96,37.3716,30.05,11.17,37.7,57.22,7.656,25.28,26.35,8.37,36.51,37.27,59.23,16.4226,14.19,22.3125,26.51,18.66,35.32,10.725,12.41,10.39,21.63,3.77,49.168,52.46,30.8,48.07,10.8675,11.795,18.3,55.01,25.06,34.91,30.81,28.72,38.55,15.8533,33.59,34.1369,134.69,58.11,25,18.76,23.665,102.46,9.9538,226.56,26.69,14.0582,312.297,13.68,7.359,68.426,20.31,67.85,24.386,16.4593,18.52,8.53,9.6576,9.63,18.52,20.22,16.55,10.27,6.572,6.2977,9.2541,14.94,33.82,54.8,42.45,8.37,19.1375,40.59,5.28,3.81,31.6,10.55,8.69,15,34.93,17.68,18.01,10.2425,6.06,15.05,11.32,23.47,22.25,43.64,10.47,36.01,8.79,21.43,19.15,33.15,39.61,42.78,0.6869,7.9678,20.9662,23.78,30.35,32.26,13.985,8.8507,19,15.915,18.18,18.76,28.7501,9.195,4.4275,27.085,31.49,8.8504,25.1,42.58,68.09,12.76,28.62,13.195,9.1,19.54,29.49,28.3487,22.02,13.91,18.01,9.915,108.54,32,23.9,17.35,48.76,51.88
2010/1/6,24.42,20.8,30.77,37.2838,30.44,11.22,37.62,56.79,7.535,25.34,26.42,8.31,36.37,37.76,60,16.9301,14.16,22.5475,26.57,18.18,34.5,11.4325,12.3575,10.45,22.38,3.86,49.214,51.7,31.05,47.6,11.035,11.71,18.36,54.15,24.89,35.14,30.38,28.48,38.39,16.7833,33.35,34.0016,132.25,57.34,24.73,18.88,23.665,103.947,9.8906,219.08,26.47,14.2139,304.425,14.02,7.617,67.962,20.29,66.96,23.135,16.7045,18.39,8.4,10.1328,9.8,18.34,19.99,16.49,11,6.708,6.3723,9.7931,15.01,34,54.2,42.5,8.38,18.7325,41.236,5.19,4.16,33.01,10.82,8.95,14.67,35.25,17.72,18.35,10.235,6.13,14.91,11.26,23.43,22.21,43.35,10.44,35.94,8.9,21.62,19.18,32.95,39.43,42.03,0.6884,7.9333,20.6176,23.84,32.22,32.02,14.125,9.3398,19.15,16.25,19.5,19.22,28.5253,9.705,4.3725,27.15,31.14,9.0281,24.72,42.93,67.91,12.725,28.4,13.1675,9.0625,18.91,29.39,28.6256,22.58,13.27,17.48,9.9,109.53,31.87,23.1,17.41,46.31,51.27
2010/1/7,24.53,20.6,30.48,37.2663,30.39,10.84,36.89,56.27,7.521,25.47,26.65,8.485,36.57,38.26,59.71,16.9301,14.01,22.6775,26.67,18.04,34.27,11.6275,12.3,11.08,22.435,4.29,48.809,52.19,31.54,48.98,11.4875,11.675,18.32,54.11,24.64,35.6,30.28,28.33,38.27,16.6733,33.27,33.9697,130,56.79,24.39,18.51,22.77,103.557,9.777,216.13,26.48,14.1966,297.333,14.12,7.486,68.046,20.02,68.39,23.013,16.6943,18.04,8.4,10.2472,9.85,18.03,19.88,16.55,10.82,6.682,6.578,9.7931,14.99,33.92,52.6,42.42,8.112,18.2775,40.463,5.23,4.17,33.67,10.76,9.21,14.8,34.27,17.45,18.61,10.1275,6.25,14.74,10.99,23.41,22.15,43.47,10.39,36.45,8.89,21.12,20.26,33.08,39.36,41.5,0.6731,7.8867,20.7072,23.93,32.87,32.17,14.255,9.368,19.03,16.155,19.37,20.86,27.9883,9.725,4.3825,28.18,31.515,8.5926,24.57,44.78,68.07,12.745,27.69,13.3475,9.01,18.79,29.55,28.0923,24.14,13.55,17.43,9.92,107.35,32.17,22.75,17.52,46.17,50.26
2010/1/8,24.66,20.83,30.66,37.2137,30,11.1,36.69,56.77,7.571,26.26,26.91,8.46,37.12,38.31,59.28,16.9301,14.56,22.6325,26.58,18.4,34.65,11.745,12.1625,11.09,22.27,4.22,49.813,52.42,31.56,49.47,11.265,11.64,18.37,53.9,25,35.6,31.08,28.5,37.93,16.4433,33.54,34.8934,133.52,57.55,24.58,18.55,23.43,102.987,9.8948,216.21,26.48,14.4562,301.302,14.58,7.614,69.864,20.23,67.9,22.797,16.7454,17.89,8.23,10.2472,9.81,17.42,19.96,16.65,10.94,6.715,6.5689,10.0794,14.97,33.59,53,42.34,7.96,18.195,40.427,5.23,4.04,33.39,10.82,9.04,14.06,33.45,18.21,18.68,10.215,6.34,15,10.9,23.2,22.31,43.76,10.42,36.49,8.89,21.36,20.25,34.04,40.35,40.69,0.6676,7.8711,21.0758,23.975,33.15,33.79,14.455,9.6348,19.17,16.135,20.19,21.61,27.5637,10.055,4.3875,27.955,31.875,8.7111,24.37,47.59,67.94,12.845,27.6,13.34,9.0375,18.65,29,28.2051,23.87,13.33,17.66,10.07,106.77,32.25,23.01,17.26,45.62,50.51
2010/1/11,24.59,20.95,30.27,37.3803,29.93,10.9,36.21,57.02,7.504,26.25,26.8,8.405,36.96,38.94,59.35,16.8635,14.87,22.175,26.8,18.27,34.79,11.515,12.23,11.2,22.445,4.33,49.647,51.04,31.75,49.29,11.32,11.605,18.36,54.28,24.74,36.06,31.22,28.46,38.13,16.3533,32.94,33.8343,130.31,57.72,24.51,18.29,23.24,103.763,9.8696,218.91,26.39,14.4735,300.846,14.52,7.604,69.85,20.28,67.68,22.599,16.6892,18.35,8.08,10.7136,9.83,17.77,19.83,16.69,11.09,6.715,6.5644,9.9741,14.94,33.68,60.4,42.36,7.802,18.41,40.057,5.14,4.16,33.23,10.6,9.01,14.5,32.74,18.49,18.72,10.15,6.34,15.01,10.89,23.02,22.12,43.93,10.68,36.74,8.97,21.21,20.11,34.54,41.43,41.83,0.6905,7.8467,21.1455,23.83,33.82,34.29,14.365,9.5499,19.29,15.905,19.56,21.28,27.9633,10.01,4.3625,28.885,31.725,8.6607,24.84,47.21,67.5,12.74,27.69,13.2325,9.0025,18.51,29.39,27.8564,25.23,13.11,17.54,10.27,107.65,31.69,22.77,17.05,45.43,45.65
2010/1/12,24.2,20.61,30.07,37.1172,30.16,10.26,35.66,56.03,7.419,25.89,26.44,8.255,35.67,38.83,59.03,16.4021,14.2,21.755,26.73,16.85,34.49,11.5125,12.12,10.99,22.475,4.21,49.049,50.95,31.64,48.49,11.3625,11.41,18.47,54.59,24.05,35.8,31.22,27.99,38.85,16.5467,32.45,33.4442,127.35,56.99,24.18,17.67,23.6,101.463,9.7602,213.98,26.16,14.0063,295.526,14.54,7.481,68.434,19.93,67.98,21.894,16.2447,17.72,7.89,10.1548,9.67,17.41,19.02,16.44,10.36,6.663,6.3926,9.751,14.92,33.75,57.4,41.72,7.674,17.7,38.649,4.86,4.25,32.88,10.32,9.46,14.35,32.79,18.02,18,10.015,6.2,14.71,10.77,22.92,21.8,42.74,10.19,35.33,8.49,20.36,19.72,33.71,38.74,41.79,0.68,7.8689,20.2391,23.5,39.17,33.81,13.98,9.3398,19,15.675,19.08,21.14,27.9259,9.895,4.3225,28.84,31.02,8.6163,24.51,46.38,67.4,12.54,27.66,13.2375,8.9375,18.46,28.56,27.7026,25.17,12.69,17.23,10.19,103.29,31.45,22.06,16.9,45.28,45
2010/1/13,24.64,20.96,30.35,37.3891,30.15,10.46,36.28,56.53,7.523,26.25,26.85,8.385,36.09,39,59.4,16.3509,14.27,22.0875,26.97,17.17,34.81,11.6725,12.2225,11.52,22.755,4.31,49.813,51.55,31.66,48.7,11.4825,11.695,18.69,55.13,24.26,36.3,31.58,28.23,38.98,16.4667,33.73,33.8343,129.11,57.32,24.4,17.91,24.39,102.013,9.9327,214.3,26.04,14.2226,293.829,14.49,7.709,68.646,20.12,69.4,22.167,16.3418,18.22,7.96,10.256,10.09,17.81,19.34,16.62,10.33,6.76,6.4265,9.772,15.17,33.85,55.6,41.52,7.67,17.5425,43.948,4.97,4.28,32.54,10.66,9.22,14.46,33.7,18.08,18.5,10.12,6.39,15.05,10.91,23.25,22.01,43.04,10.36,36.28,8.59,20.69,20.29,33.86,38.86,42.72,0.6669,7.9111,20.4084,23.57,40.51,34.67,13.955,9.3438,18.42,16.16,18.78,21.31,28.2631,9.72,4.3425,29.575,31.205,8.6637,24.65,46.47,68.2,12.675,28.05,13.3225,8.8675,18.94,28.35,27.5897,25.62,13.95,17.58,10.14,103.08,31.63,22.02,16.88,45.76,45.23
2010/1/14,24.94,21.45,30.96,37.2838,29.91,10.73,35.9,56.16,7.48,26.6,26.68,8.335,35,38.93,58.72,16.3509,14.35,22.05,27.03,17.18,34.71,11.575,12.1875,11.77,22.73,4.4,50.071,51.3,31.35,48.37,11.4,11.775,18.78,54.79,24.11,36.57,31.78,28.03,38.79,16.4167,33.65,34.2962,127.35,57.62,24.33,17.63,24.055,102.667,9.6297,208.77,26.88,14.6379,295.211,14.53,7.284,68.35,20.25,72.11,21.687,16.209,18.34,8.25,10.1812,10.27,17.87,19.27,17.11,10.16,6.753,6.4695,9.7004,15.31,34.1,53.6,42.49,7.828,18.335,46.423,5.02,4.14,32.39,10.67,9.22,14.84,33.47,18.12,18.4,10.5525,6.32,15.33,10.86,23.43,22.19,43.49,10.15,36.41,8.51,20.4,20.42,34.7,38.34,41.3,0.6831,7.9,20.1096,23.835,39.03,35.19,13.9,9.3034,18.43,15.93,18.43,20.44,28.1007,9.95,4.37,29.815,31.24,8.643,24.62,46.77,68.25,12.675,28.13,13.21,8.935,19.07,28.19,28,25.67,13.93,17.13,10.01,104.12,32.05,22.24,16.78,46.21,43.22
2010/1/15,24.4,20.8,30.86,37.0821,28.95,10.13,35.87,56.25,7.355,26.08,26.24,8.315,33.34,38,58.79,16.6635,13.73,21.76,26.86,17.03,34.47,11.465,11.985,11.36,22.76,4.28,49.905,51.55,30.67,48.53,11.22,11.635,18.85,53.6,23.52,35.95,31.46,27.39,38.21,16.4567,33.15,34.4156,127.14,57.72,23.98,17.11,23.96,102.86,9.4571,208.75,26.61,14.2745,290.281,14.29,7.279,67.448,20.16,70.5,21.377,16.5666,17.77,8.05,10.0712,10.11,18.2,18.65,16.49,9.86,6.742,6.6526,9.5783,15.38,34.41,52.4,41.42,7.462,18.1875,46.768,4.86,4.06,32.03,10.3,9.7,14.51,32.73,18.1,17.6,10.3925,6.22,14.78,10.89,23.2,21.97,43.34,10.08,36.65,7.99,19.58,20.81,34.02,36.82,40.21,0.67,7.8856,19.8307,23.705,39.02,35.13,14.215,9.1781,18.24,15.57,18.01,20.35,27.5886,9.815,4.2675,29.55,30.695,8.4207,23.88,45.99,67.06,12.275,27.91,13.1125,8.7925,19.27,27.94,27.3538,24.72,13.25,16.93,9.995,102.11,31.97,21.79,16.39,45.43,42.15
